data\test_digits_inverted\0\Zero_full (1019).jpg | True: 0, Pred: 9
data\test_digits_inverted\8\Eight_full (928).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (929).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (956).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (964).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (994).jpg | True: 8, Pred: 8
data\test_digits_inverted\8\Eight_full (995).jpg | True: 8, Pred: 8
data\test_digits_inverted\9\Nine_full (102).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1064).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1081).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1091).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1092).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1097).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1101).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (113).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1138).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1166).jpg | True: 9, Pred: 4
data\test_digits_inverted\9\Nine_full (118).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1189).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1191).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1193).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1249).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1284).jpg | True: 9, Pred: 7
data\test_digits_inverted\9\Nine_full (1295).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1315).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1342).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1360).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1374).jpg | True: 9, Pred: 1
data\test_digits_inverted\9\Nine_full (1381).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1383).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1395).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1414).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1436).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1451).jpg | True: 9, Pred: 8
data\test_digits_inverted\9\Nine_full (1453).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1456).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1471).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1502).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1522).jpg | True: 9, Pred: 5
data\test_digits_inverted\9\Nine_full (1523).jpg | True: 9, Pred: 5
data\test_digits_inverted\9\Nine_full (1577).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1661).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1711).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1752).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1760).jpg | True: 9, Pred: 5
data\test_digits_inverted\9\Nine_full (1861).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (187).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1880).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1901).jpg | True: 9, Pred: 5
data\test_digits_inverted\9\Nine_full (1937).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (1948).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (1966).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (1996).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (2).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (2001).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (2009).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (240).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (259).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (279).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (310).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (328).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (34).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (348).jpg | True: 9, Pred: 8
data\test_digits_inverted\9\Nine_full (367).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (41).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (414).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (43).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (482).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (502).jpg | True: 9, Pred: 6
data\test_digits_inverted\9\Nine_full (509).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (517).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (567).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (599).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (63).jpg | True: 9, Pred: 1
data\test_digits_inverted\9\Nine_full (709).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (724).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (74).jpg | True: 9, Pred: 7
data\test_digits_inverted\9\Nine_full (766).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (778).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (796).jpg | True: 9, Pred: 3
data\test_digits_inverted\9\Nine_full (8).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (871).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (885).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (897).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (898).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (9).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (950).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (962).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (966).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (970).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (981).jpg | True: 9, Pred: 9
data\test_digits_inverted\9\Nine_full (985).jpg | True: 9, Pred: 9

Total: 850, Correct: 538, Accuracy: 0.6329

Per-class accuracy:
Digit 0: 31/85 correct (0.3647)
Digit 1: 54/85 correct (0.6353)
Digit 2: 49/85 correct (0.5765)
Digit 3: 73/85 correct (0.8588)
Digit 4: 48/85 correct (0.5647)
Digit 5: 60/85 correct (0.7059)
Digit 6: 64/85 correct (0.7529)
Digit 7: 56/85 correct (0.6588)
Digit 8: 38/85 correct (0.4471)
Digit 9: 65/85 correct (0.7647)

Classification Report:
              precision    recall  f1-score   support

           0     0.7949    0.3647    0.5000        85
           1     0.8308    0.6353    0.7200        85
           2     0.6447    0.5765    0.6087        85
           3     0.5141    0.8588    0.6432        85
           4     0.7869    0.5647    0.6575        85
           5     0.8000    0.7059    0.7500        85
           6     0.6154    0.7529    0.6772        85
           7     0.6747    0.6588    0.6667        85
           8     0.8261    0.4471    0.5802        85
           9     0.4088    0.7647    0.5328        85

    accuracy                         0.6329       850
   macro avg     0.6896    0.6329    0.6336       850
weighted avg     0.6896    0.6329    0.6336       850

Confusion matrix saved -> models/confusion_matrix_20250920_010310.png
Sample predictions gallery saved -> models/sample_preds_20250920_010310.png
